"Region","Sex","Year","Age group","Mean height","Mean height lower 95% uncertainty interval","Mean height upper 95% uncertainty interval","Mean height standard error"
"Central and Eastern Europe","Boys",2000,13,157.018280843021,156.397075658453,157.625442063329,0.312350451065772
"Central and Eastern Europe","Boys",2000,14,163.782584352753,163.170782587417,164.381505903527,0.309393503432934
"Central and Eastern Europe","Boys",2000,15,168.976445845869,168.371350673018,169.577412732604,0.308240104927298
"Central and Eastern Europe","Boys",2000,16,172.566764862789,171.954082714403,173.168189796698,0.308895068029814
"Central and Eastern Europe","Boys",2000,17,175.058127456454,174.444931431189,175.660753207223,0.31241209992875
"Central and Eastern Europe","Boys",2000,18,176.616971887831,175.996591825422,177.235222158366,0.317999553295156
"Central and Eastern Europe","Boys",2000,19,177.379807919151,176.675677502008,178.065855966335,0.354344510983226
"Central and Eastern Europe","Boys",2001,5,111.920819771248,110.998807012766,112.868520512161,0.474155948730105
"Central and Eastern Europe","Boys",2001,6,117.961359797336,117.151134707967,118.770698302885,0.410866723343056
"Central and Eastern Europe","Boys",2001,7,123.575300634645,122.834313641137,124.296125708845,0.37411559696969
"Central and Eastern Europe","Boys",2001,8,128.87860111251,128.17067480321,129.55034456329,0.35045281441595
"Central and Eastern Europe","Boys",2001,9,133.990913291289,133.317672459141,134.631858943284,0.335518573859846
"Central and Eastern Europe","Boys",2001,10,138.77571994818,138.125531712926,139.386476198462,0.322542111722177
"Central and Eastern Europe","Boys",2001,11,144.005863675322,143.36196121911,144.608290643786,0.315004261190804
"Central and Eastern Europe","Boys",2001,12,149.997183051277,149.375071619194,150.607320711858,0.311983077438969
"Central and Eastern Europe","Boys",2001,13,157.032750219736,156.419806637013,157.624886196892,0.307830213411356
"Central and Eastern Europe","Boys",2001,14,163.786630489939,163.177325199139,164.375436833252,0.303745084322641
"Central and Eastern Europe","Boys",2001,15,168.933978214396,168.346089554871,169.526337313529,0.301555069748136
"Central and Eastern Europe","Boys",2001,16,172.545232377552,171.941341613405,173.14869804543,0.303035241732039
"Central and Eastern Europe","Boys",2001,17,175.068957012756,174.461021681547,175.672698646425,0.306058007436265
"Central and Eastern Europe","Boys",2001,18,176.650022262875,176.038738880227,177.254878652164,0.312258273747832
"Central and Eastern Europe","Boys",2001,19,177.408907605319,176.715498998964,178.08489516548,0.350145954261581
"Central and Eastern Europe","Boys",2002,5,112.031961524959,111.132938730275,112.970244155658,0.46581165678752
"Central and Eastern Europe","Boys",2002,6,118.038993169815,117.253329065988,118.85613474629,0.403895080158636
"Central and Eastern Europe","Boys",2002,7,123.649562958248,122.920920959878,124.363971357131,0.366544321262876
"Central and Eastern Europe","Boys",2002,8,128.958686720433,128.265594998382,129.620600604596,0.343313462073698
"Central and Eastern Europe","Boys",2002,9,134.082291586741,133.414907111908,134.717515049189,0.328488181819706
"Central and Eastern Europe","Boys",2002,10,138.878083893484,138.23698667619,139.490036593046,0.319486002227243
"Central and Eastern Europe","Boys",2002,11,144.092072419886,143.463936881462,144.692057797354,0.313504776236454
"Central and Eastern Europe","Boys",2002,12,150.068481592796,149.446878064088,150.666403560639,0.310612755390511
"Central and Eastern Europe","Boys",2002,13,157.083735106641,156.475843976534,157.678764502775,0.305936362626243
"Central and Eastern Europe","Boys",2002,14,163.821953854153,163.218502447475,164.412618172913,0.300716307965798
"Central and Eastern Europe","Boys",2002,15,168.888632902867,168.297755530663,169.476266732651,0.296674901217391
"Central and Eastern Europe","Boys",2002,16,172.506170603181,171.922398644917,173.103971572249,0.29729777015605
"Central and Eastern Europe","Boys",2002,17,175.050255093817,174.452398849726,175.642675189111,0.301214665744975
"Central and Eastern Europe","Boys",2002,18,176.661253319506,176.051192043534,177.260626535592,0.307504810820439
"Central and Eastern Europe","Boys",2002,19,177.438321089854,176.751741936984,178.113968447136,0.347650798594466
"Central and Eastern Europe","Boys",2003,5,112.161908518437,111.28470553279,113.088104414455,0.45813587747218
"Central and Eastern Europe","Boys",2003,6,118.134447008375,117.35693652316,118.921116592251,0.395992061298292
"Central and Eastern Europe","Boys",2003,7,123.712350574833,123.020145062341,124.413513963395,0.360595105349581
"Central and Eastern Europe","Boys",2003,8,129.018481352901,128.351001864508,129.67445938729,0.336753407419499
